delivered_impression,datetime
417,2022-04-09T04:52:33Z
418,2022-04-09T04:52:55Z
419,2022-04-09T04:53:18Z
419,2022-04-09T04:53:41Z
419,2022-04-09T04:54:03Z
420,2022-04-09T04:54:26Z
421,2022-04-09T04:54:48Z
421,2022-04-09T04:55:11Z
421,2022-04-09T04:55:34Z
422,2022-04-09T04:55:56Z
423,2022-04-09T04:56:19Z
424,2022-04-09T04:56:42Z
424,2022-04-09T04:57:04Z
424,2022-04-09T04:57:27Z
425,2022-04-09T04:57:50Z
426,2022-04-09T04:58:12Z
426,2022-04-09T04:58:35Z
427,2022-04-09T04:58:58Z
428,2022-04-09T04:59:20Z
428,2022-04-09T04:59:43Z
428,2022-04-09T05:00:05Z
429,2022-04-09T05:00:28Z
430,2022-04-09T05:00:51Z
430,2022-04-09T05:01:13Z
430,2022-04-09T05:01:36Z
431,2022-04-09T05:01:59Z
432,2022-04-09T05:02:21Z
433,2022-04-09T05:02:44Z
433,2022-04-09T05:03:07Z
433,2022-04-09T05:03:29Z
434,2022-04-09T05:03:52Z
435,2022-04-09T05:04:15Z
435,2022-04-09T05:04:37Z
435,2022-04-09T05:05:00Z
436,2022-04-09T05:05:22Z
437,2022-04-09T05:05:45Z
438,2022-04-09T05:06:08Z
438,2022-04-09T05:06:30Z
439,2022-04-09T05:06:53Z
439,2022-04-09T05:07:16Z
439,2022-04-09T05:07:38Z
440,2022-04-09T05:08:01Z
441,2022-04-09T05:08:24Z
442,2022-04-09T05:08:46Z
442,2022-04-09T05:09:09Z
442,2022-04-09T05:09:32Z
443,2022-04-09T05:09:54Z
444,2022-04-09T05:10:17Z
445,2022-04-09T05:10:39Z
445,2022-04-09T05:11:02Z
445,2022-04-09T05:11:25Z
445,2022-04-09T05:11:47Z
446,2022-04-09T05:12:10Z
447,2022-04-09T05:12:34Z
448,2022-04-09T05:12:57Z
449,2022-04-09T05:13:21Z
449,2022-04-09T05:13:44Z
449,2022-04-09T05:14:08Z
450,2022-04-09T05:14:31Z
451,2022-04-09T05:14:55Z
451,2022-04-09T05:15:18Z
451,2022-04-09T05:15:42Z
452,2022-04-09T05:16:05Z
453,2022-04-09T05:16:29Z
454,2022-04-09T05:16:52Z
454,2022-04-09T05:17:16Z
454,2022-04-09T05:17:39Z
455,2022-04-09T05:18:03Z
456,2022-04-09T05:18:26Z
457,2022-04-09T05:18:50Z
457,2022-04-09T05:19:14Z
457,2022-04-09T05:19:37Z
458,2022-04-09T05:20:01Z
459,2022-04-09T05:20:24Z
459,2022-04-09T05:20:48Z
460,2022-04-09T05:21:11Z
461,2022-04-09T05:21:35Z
461,2022-04-09T05:21:58Z
461,2022-04-09T05:22:22Z
462,2022-04-09T05:22:45Z
463,2022-04-09T05:23:09Z
463,2022-04-09T05:23:32Z
464,2022-04-09T05:23:56Z
465,2022-04-09T05:24:19Z
465,2022-04-09T05:24:43Z
465,2022-04-09T05:25:06Z
466,2022-04-09T05:25:30Z
467,2022-04-09T05:25:54Z
468,2022-04-09T05:26:17Z
468,2022-04-09T05:26:41Z
468,2022-04-09T05:27:04Z
469,2022-04-09T05:27:28Z
470,2022-04-09T05:27:51Z
471,2022-04-09T05:28:15Z
471,2022-04-09T05:28:38Z
471,2022-04-09T05:29:02Z
472,2022-04-09T05:29:25Z
473,2022-04-09T05:29:49Z
474,2022-04-09T05:30:12Z
474,2022-04-09T05:30:36Z
474,2022-04-09T05:30:59Z
475,2022-04-09T05:31:23Z
476,2022-04-09T05:31:46Z
476,2022-04-09T05:32:10Z
476,2022-04-09T05:32:34Z
477,2022-04-09T05:32:57Z
478,2022-04-09T05:33:21Z
479,2022-04-09T05:33:44Z
479,2022-04-09T05:34:08Z
480,2022-04-09T05:34:31Z
480,2022-04-09T05:34:55Z
