ad_unit_name,market,ad_network,os,slot,format,page
am-ios-foryou-small-native-it-exp-medium,IT,gam,ios,small,native,foryou
am-ios-foryou-small-native-it-exp-low,IT,gam,ios,small,native,foryou
fb-ios-article-related-native-it-exp,IT,fb,ios,related,native,article
am-ios-article-related-native-it-exp-high,IT,gam,ios,related,native,article
am-ios-article-related-native-it-exp-medium,IT,gam,ios,related,native,article
am-ios-article-related-native-it-exp-low,IT,gam,ios,related,native,article
fb-ios-article-top-display-it-exp,IT,fb,ios,top,display,article
am-ios-article-top-display-it-exp-high,IT,gam,ios,top,display,article
am-ios-article-top-display-it-exp-medium,IT,gam,ios,top,display,article
am-ios-article-top-display-it-exp-low,IT,gam,ios,top,display,article
fb-android-article-related-native-it-exp,IT,fb,android,related,native,article
am-android-article-related-native-it-exp-high,IT,gam,android,related,native,article
am-android-article-related-native-it-exp-medium,IT,gam,android,related,native,article
am-android-article-related-native-it-exp-low,IT,gam,android,related,native,article
fb-android-foryou-small-native-it-exp,IT,fb,android,small,native,foryou
am-android-foryou-small-native-it-exp-high,IT,gam,android,small,native,foryou
am-android-foryou-small-native-it-exp-medium,IT,gam,android,small,native,foryou
am-android-foryou-small-native-it-exp-low,IT,gam,android,small,native,foryou
fb-android-article-top-display-it-exp,IT,fb,android,top,display,article
am-android-article-top-display-it-exp-high,IT,gam,android,top,display,article
am-android-article-top-display-it-exp-medium,IT,gam,android,top,display,article
am-android-article-top-display-it-exp-low,IT,gam,android,top,display,article
fb-ios-article-related-native-uk-exp,GB,fb,ios,related,native,article
am-ios-article-related-native-uk-exp-high,GB,gam,ios,related,native,article
am-ios-article-related-native-uk-exp-medium,GB,gam,ios,related,native,article
am-ios-article-related-native-uk-exp-low,GB,gam,ios,related,native,article
fb-ios-foryou-small-native-uk-exp,GB,fb,ios,small,native,foryou
am-ios-foryou-small-native-uk-exp-high,GB,gam,ios,small,native,foryou
am-ios-foryou-small-native-uk-exp-medium,GB,gam,ios,small,native,foryou
am-ios-foryou-small-native-uk-exp-low,GB,gam,ios,small,native,foryou
fb-ios-article-top-display-uk-exp,GB,fb,ios,top,display,article
am-ios-article-top-display-uk-exp-high,GB,gam,ios,top,display,article
am-ios-article-top-display-uk-exp-medium,GB,gam,ios,top,display,article
am-ios-article-top-display-uk-exp-low,GB,gam,ios,top,display,article
fb-android-article-related-native-uk-exp,GB,fb,android,related,native,article
am-android-article-related-native-uk-exp-high,GB,gam,android,related,native,article
am-android-article-related-native-uk-exp-medium,GB,gam,android,related,native,article
am-android-article-related-native-uk-exp-low,GB,gam,android,related,native,article
fb-android-foryou-small-native-uk-exp,GB,fb,android,small,native,foryou
am-android-foryou-small-native-uk-exp-high,GB,gam,android,small,native,foryou
am-android-foryou-small-native-uk-exp-medium,GB,gam,android,small,native,foryou
am-android-foryou-small-native-uk-exp-low,GB,gam,android,small,native,foryou
fb-android-article-top-display-uk-exp,GB,fb,android,top,display,article
am-android-article-top-display-uk-exp-high,GB,gam,android,top,display,article
am-android-article-top-display-uk-exp-medium,GB,gam,android,top,display,article
am-android-article-top-display-uk-exp-low,GB,gam,android,top,display,article
fb-android-article-related-native-br-dedupe,BR,fb,android,related,native,article
am-android-article-related-native-br-dedupe-high,BR,gam,android,related,native,article
am-android-article-related-native-br-dedupe-medium,BR,gam,android,related,native,article
am-android-article-related-native-br-dedupe-low,BR,gam,android,related,native,article
fb-android-article-top-display-br-dedupe,BR,fb,android,top,display,article
am-android-article-top-display-br-dedupe-high,BR,gam,android,top,display,article
am-android-article-top-display-br-dedupe-medium,BR,gam,android,top,display,article
am-android-article-top-display-br-dedupe-low,BR,gam,android,top,display,article
fb-android-foryou-large-native-br-dedupe,BR,fb,android,large,native,foryou
am-android-foryou-large-native-br-dedupe-high,BR,gam,android,large,native,foryou
am-android-foryou-large-native-br-dedupe-medium,BR,gam,android,large,native,foryou
am-android-foryou-large-native-br-dedupe-low,BR,gam,android,large,native,foryou
nb-android-launch-fullscreen-appopen-exp,US,nbads,android,fullscreen,appopen,launch
nb-ios-launch-fullscreen-appopen-exp,US,nbads,ios,fullscreen,appopen,launch
am-android-foryou-large-native-ling,US,gam,android,large,native,foryou
fb-android-article-related-native-jp-exp2,JP,fb,android,related,native,article
am-android-article-related-native-jp-exp2-high,JP,gam,android,related,native,article
am-android-article-related-native-jp-exp2-medium,JP,gam,android,related,native,article
am-android-article-related-native-jp-exp2-low,JP,gam,android,related,native,article
