delivered_impression,timestamp
12179,1649347498
12179,1649347506
12179,1649347514
12179,1649347522
12180,1649347530
12180,1649347539
12180,1649347547
12180,1649347555
12180,1649347563
12180,1649347571
12181,1649347579
12182,1649347587
12182,1649347595
12182,1649347603
12182,1649347611
12182,1649347619
12182,1649347628
12182,1649347636
12182,1649347644
12182,1649347652
12182,1649347660
12182,1649347668
12183,1649347676
12184,1649347684
12184,1649347692
12184,1649347700
12184,1649347708
12184,1649347717
12184,1649347725
12184,1649347733
12185,1649347741
12185,1649347749
12185,1649347757
12185,1649347765
12186,1649347773
12186,1649347781
12186,1649347789
12186,1649347797
12186,1649347806
12187,1649347814
12187,1649347822
12187,1649347830
12187,1649347838
12187,1649347846
12188,1649347854
12188,1649347862
12188,1649347870
12188,1649347878
12188,1649347886
12189,1649347894
12189,1649347903
12189,1649347911
12189,1649347919
12189,1649347927
12190,1649347935
12190,1649347943
12190,1649347951
12190,1649347959
12190,1649347967
12191,1649347975
12191,1649347983
12191,1649347992
12191,1649348000
12191,1649348008
12192,1649348016
12192,1649348024
12192,1649348032
12192,1649348040
12192,1649348048
12193,1649348056
12193,1649348064
12193,1649348072
12193,1649348081
12194,1649348089
12194,1649348097
12194,1649348105
12194,1649348113
12194,1649348121
12194,1649348129
12195,1649348137
12195,1649348145
12195,1649348153
12195,1649348161
12195,1649348170
12196,1649348178
12196,1649348186
12196,1649348194
12196,1649348202
12196,1649348210
12197,1649348218
12197,1649348226
12197,1649348234
12197,1649348242
12197,1649348250
12198,1649348259
12198,1649348267
12198,1649348275
12198,1649348283
12198,1649348291
12199,1649348299
12199,1649348307
12199,1649348315
12199,1649348323
12199,1649348331
12200,1649348339
12200,1649348348
12200,1649348356
12200,1649348364
12201,1649348372
12201,1649348380
12201,1649348388
12201,1649348396
12201,1649348404
12201,1649348412
12202,1649348420
12202,1649348428
12202,1649348437
12202,1649348445
12202,1649348453
12203,1649348461
12203,1649348469
12203,1649348477
12203,1649348485
12203,1649348493
12204,1649348501
12204,1649348509
12204,1649348517
12204,1649348526
12205,1649348534
12205,1649348542
12205,1649348550
12205,1649348558
12205,1649348566
12205,1649348574
12206,1649348582
12206,1649348590
12206,1649348598
12206,1649348606
12206,1649348614
12207,1649348623
12207,1649348631
12207,1649348639
12207,1649348647
12208,1649348655
12208,1649348663
12208,1649348671
12208,1649348679
12208,1649348687
12208,1649348695
12209,1649348703
12209,1649348712
12209,1649348720
12209,1649348728
12209,1649348736
12210,1649348744
12210,1649348752
12210,1649348760
12210,1649348768
12211,1649348776
12211,1649348784
12211,1649348792
12211,1649348801
12211,1649348809
12211,1649348817
12212,1649348825
12212,1649348833
12212,1649348841
12212,1649348849
12212,1649348857
12213,1649348865
12213,1649348873
12213,1649348881
12213,1649348890
12214,1649348898
12214,1649348906
12214,1649348914
12214,1649348922
12214,1649348930
12214,1649348938
12215,1649348946
12215,1649348954
12215,1649348962
12215,1649348970
12216,1649348979
12216,1649348987
12216,1649348995
12216,1649349003
12216,1649349011
12216,1649349019
12217,1649349027
12217,1649349035
12217,1649349043
12217,1649349051
12218,1649349059
12218,1649349068
12218,1649349076
12218,1649349084
12218,1649349092
12218,1649349100
12219,1649349108
12219,1649349116
12219,1649349124
12219,1649349132
12220,1649349140
12220,1649349148
12220,1649349157
12220,1649349165
12220,1649349173
12220,1649349181
12221,1649349189
12221,1649349197
12221,1649349205
12221,1649349213
12222,1649349221
12222,1649349229
12222,1649349237
12222,1649349246
12222,1649349254
12222,1649349262
12223,1649349270
12223,1649349278
12223,1649349286
12223,1649349294
12224,1649349302
12224,1649349310
12224,1649349318
12224,1649349326
12224,1649349334
12224,1649349343
12225,1649349351
12225,1649349359
12225,1649349367
12225,1649349375
12226,1649349383
12226,1649349391
12226,1649349399
12226,1649349407
12226,1649349415
12227,1649349423
12227,1649349432
12227,1649349440
12227,1649349448
12227,1649349456
12227,1649349464
12228,1649349472
12228,1649349480
12228,1649349488
12228,1649349496
12229,1649349504
12229,1649349512
12229,1649349521
12229,1649349529
12229,1649349537
12230,1649349545
12230,1649349553
12230,1649349561
12230,1649349569
12230,1649349577
12230,1649349585
12231,1649349593
12231,1649349601
12231,1649349610
12231,1649349618
12232,1649349626
12232,1649349634
12232,1649349642
12232,1649349650
12232,1649349658
12233,1649349666
12233,1649349675
12233,1649349683
12233,1649349691
12233,1649349699
12234,1649349708
12234,1649349716
12234,1649349724
12234,1649349732
12234,1649349740
12234,1649349749
12235,1649349757
12236,1649349765
12236,1649349773
12236,1649349782
12236,1649349790
12236,1649349798
12236,1649349806
12236,1649349814
12236,1649349823
12236,1649349831
12236,1649349839
12237,1649349847
12237,1649349855
12237,1649349864
12238,1649349872
12238,1649349880
12238,1649349888
12238,1649349897
12238,1649349905
12239,1649349913
12239,1649349921
12239,1649349929
12239,1649349938
12240,1649349946
12240,1649349954
12240,1649349962
12240,1649349971
12240,1649349979
12240,1649349987
12241,1649349995
12241,1649350003
12241,1649350012
12241,1649350020
12242,1649350028
12242,1649350036
12242,1649350045
12242,1649350053
12242,1649350061
12242,1649350069
12243,1649350077
12243,1649350086
12243,1649350094
12243,1649350102
12244,1649350110
12244,1649350118
12244,1649350127
12244,1649350135
12244,1649350143
12245,1649350151
12245,1649350160
12245,1649350168
12245,1649350176
12245,1649350184
12246,1649350192
12246,1649350201
12246,1649350209
12246,1649350217
12246,1649350225
12247,1649350234
12247,1649350242
12247,1649350250
12247,1649350258
12247,1649350266
12248,1649350275
12248,1649350283
12248,1649350291
12248,1649350299
12249,1649350308
12249,1649350316
12249,1649350324
12249,1649350332
12249,1649350340
12249,1649350349
12250,1649350357
12250,1649350365
12250,1649350373
12250,1649350382
12250,1649350390
12251,1649350398
12251,1649350406
12251,1649350414
12251,1649350423
12252,1649350431
12252,1649350439
12252,1649350447
12252,1649350455
12252,1649350464
12252,1649350472
12253,1649350480
12254,1649350488
12254,1649350497
12254,1649350505
12254,1649350513
12254,1649350521
12254,1649350529
12254,1649350538
12254,1649350546
12254,1649350554
12254,1649350562
12254,1649350571
12255,1649350579
12256,1649350587
12256,1649350595
12256,1649350603
12256,1649350612
12256,1649350620
12256,1649350628
12256,1649350636
12257,1649350645
12257,1649350653
12257,1649350661
12257,1649350669
12258,1649350677
12258,1649350686
12258,1649350694
12258,1649350702
12258,1649350710
12259,1649350718
12259,1649350727
12259,1649350735
12259,1649350743
12260,1649350751
12260,1649350760
12260,1649350768
12260,1649350776
12260,1649350784
12260,1649350792
12261,1649350801
12261,1649350809
12261,1649350817
12261,1649350825
12261,1649350834
12262,1649350842
12262,1649350850
12262,1649350858
12262,1649350866
12263,1649350875
12263,1649350883
12263,1649350891
12263,1649350899
12263,1649350908
12264,1649350916
12264,1649350924
12264,1649350932
12264,1649350940
12264,1649350949
12264,1649350957
12265,1649350965
12266,1649350973
12266,1649350982
12266,1649350990
12266,1649350998
12266,1649351006
12266,1649351014
12266,1649351023
12266,1649351031
12266,1649351039
12266,1649351047
12266,1649351055
12267,1649351064
12268,1649351072
12268,1649351080
12268,1649351088
12268,1649351097
12268,1649351105
12268,1649351113
12268,1649351121
12269,1649351129
12270,1649351138
12270,1649351146
12270,1649351154
12270,1649351162
12270,1649351171
12270,1649351179
12270,1649351187
12270,1649351195
12270,1649351203
12270,1649351212
12271,1649351220
12272,1649351228
12272,1649351236
12272,1649351245
12272,1649351253
12272,1649351261
12272,1649351269
12272,1649351277
12272,1649351286
12273,1649351294
12273,1649351302
12273,1649351310
12274,1649351318
12274,1649351327
12274,1649351335
12274,1649351343
12274,1649351351
12274,1649351360
12275,1649351368
12275,1649351376
12275,1649351384
12275,1649351392
12276,1649351401
12276,1649351409
12276,1649351417
12276,1649351425
12276,1649351434
12277,1649351442
12277,1649351450
12277,1649351458
12277,1649351466
12277,1649351475
12278,1649351483
12278,1649351491
12278,1649351499
12278,1649351508
12278,1649351516
12279,1649351524
12279,1649351532
12279,1649351540
12279,1649351549
12279,1649351557
12280,1649351565
12280,1649351573
12280,1649351582
12280,1649351590
12281,1649351598
12281,1649351606
12281,1649351614
12281,1649351623
12281,1649351631
12281,1649351639
12282,1649351647
12282,1649351655
12282,1649351664
12282,1649351672
12282,1649351680
12283,1649351688
12283,1649351697
12283,1649351705
12283,1649351713
12284,1649351721
12284,1649351729
12284,1649351738
12284,1649351746
12284,1649351754
12285,1649351762
12285,1649351771
12285,1649351779
12285,1649351787
12285,1649351795
12285,1649351803
12286,1649351812
12287,1649351820
12287,1649351828
12287,1649351836
12287,1649351845
12287,1649351853
12287,1649351861
12287,1649351869
12287,1649351877
12287,1649351886
12287,1649351894
12287,1649351902
12288,1649351910
12289,1649351918
12289,1649351927
12289,1649351935
12289,1649351943
12289,1649351951
12289,1649351960
12289,1649351968
12290,1649351976
12291,1649351984
12291,1649351992
12291,1649352001
12291,1649352009
12291,1649352017
12291,1649352025
12291,1649352034
12291,1649352042
12291,1649352050
12291,1649352058
12292,1649352066
12293,1649352075
12293,1649352083
12293,1649352091
12293,1649352099
12293,1649352108
12293,1649352116
12293,1649352124
12293,1649352132
12294,1649352140
12294,1649352149
12294,1649352157
12294,1649352165
12295,1649352173
12295,1649352182
12295,1649352190
12295,1649352198
12296,1649352206
12296,1649352214
12296,1649352223
12296,1649352231
12296,1649352239
12297,1649352247
12297,1649352255
12297,1649352264
12297,1649352272
12297,1649352280
12298,1649352288
12298,1649352297
12298,1649352305
12298,1649352313
12298,1649352321
12299,1649352329
12299,1649352338
12299,1649352346
12299,1649352354
12299,1649352362
12300,1649352371
12300,1649352379
12300,1649352387
12300,1649352395
12300,1649352403
12301,1649352412
12301,1649352420
12301,1649352428
12301,1649352436
12301,1649352445
12302,1649352453
12302,1649352461
12302,1649352469
12302,1649352477
12303,1649352486
12303,1649352494
12303,1649352502
12303,1649352510
12303,1649352518
12303,1649352527
12304,1649352535
12304,1649352543
12304,1649352551
12304,1649352560
12305,1649352568
12305,1649352576
12305,1649352584
12305,1649352592
12305,1649352601
12305,1649352609
12306,1649352617
12306,1649352625
12306,1649352634
12306,1649352642
12307,1649352650
12307,1649352658
12307,1649352666
12307,1649352675
12307,1649352683
12308,1649352691
12308,1649352699
12308,1649352708
12308,1649352716
12308,1649352724
12309,1649352732
12309,1649352740
12309,1649352749
12309,1649352757
12309,1649352765
12310,1649352773
12310,1649352782
12310,1649352790
12310,1649352798
12310,1649352806
12311,1649352814
12311,1649352823
12311,1649352831
12311,1649352839
12311,1649352847
12312,1649352855
12312,1649352864
12312,1649352872
12312,1649352880
12312,1649352888
12313,1649352897
12313,1649352905
12313,1649352913
12313,1649352921
12314,1649352929
12314,1649352938
12314,1649352946
12314,1649352954
12314,1649352962
12314,1649352971
12315,1649352979
12315,1649352987
12315,1649352995
12315,1649353003
12316,1649353012
12316,1649353020
12316,1649353028
12316,1649353036
12316,1649353045
12317,1649353053
12317,1649353061
12317,1649353069
12317,1649353077
12317,1649353086
12317,1649353094
12318,1649353102
12318,1649353110
12318,1649353118
12318,1649353127
12319,1649353135
12319,1649353143
12319,1649353151
12319,1649353160
12319,1649353168
12320,1649353176
12320,1649353184
12320,1649353192
12320,1649353201
12320,1649353209
12321,1649353217
12321,1649353225
12321,1649353234
12321,1649353242
12321,1649353250
12322,1649353259
12322,1649353267
12322,1649353276
12322,1649353284
12323,1649353293
12323,1649353301
12323,1649353310
12323,1649353318
12323,1649353327
12323,1649353336
12324,1649353344
12325,1649353353
12325,1649353361
12325,1649353370
12325,1649353378
12325,1649353387
12325,1649353395
12325,1649353404
12325,1649353412
12325,1649353421
12325,1649353430
12326,1649353438
12327,1649353447
12327,1649353455
12327,1649353464
12327,1649353472
12327,1649353481
12327,1649353489
12327,1649353498
12327,1649353507
12328,1649353515
12329,1649353524
12329,1649353532
12329,1649353541
12329,1649353549
12329,1649353558
12329,1649353566
12329,1649353575
12329,1649353583
12330,1649353592
12330,1649353601
12330,1649353609
12331,1649353618
12331,1649353626
12331,1649353635
12331,1649353643
12331,1649353652
12332,1649353660
12332,1649353669
12332,1649353678
12332,1649353686
12332,1649353695
12333,1649353703
12333,1649353712
12333,1649353720
12333,1649353729
12333,1649353737
12334,1649353746
12335,1649353755
12335,1649353763
12335,1649353772
12335,1649353780
12335,1649353789
